data_ida,data_volta,preco,url,index
01/08/25,02/08/25,8380,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,0.0
01/08/25,02/08/25,8827,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,1.0
01/08/25,02/08/25,8883,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,2.0
01/08/25,02/08/25,10111,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,3.0
01/08/25,02/08/25,10402,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,4.0
01/08/25,02/08/25,8827,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,5.0
01/08/25,02/08/25,9238,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,6.0
01/08/25,02/08/25,9238,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,7.0
01/08/25,02/08/25,9349,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,8.0
01/08/25,02/08/25,9349,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,9.0
01/08/25,02/08/25,9358,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,10.0
01/08/25,02/08/25,9358,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,11.0
01/08/25,02/08/25,9968,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,12.0
01/08/25,02/08/25,9968,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,13.0
01/08/25,02/08/25,10454,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,14.0
01/08/25,02/08/25,10483,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDJqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,15.0
01/08/25,03/08/25,7812,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDNqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,0.0
01/08/25,03/08/25,8608,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDNqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,1.0
01/08/25,03/08/25,8714,https://www.google.com/travel/flights/search?tfs=CBwQAhoeEgoyMDI1LTA4LTAxagcIARIDR1JVcgcIARIDQ0RHGh4SCjIwMjUtMDgtMDNqBwgBEgNDREdyBwgBEgNHUlVAAUgBcAGCAQsI____________AZgBAQ&tfu=EgYIABABGAA,2.0
